InvoiceDate,Revenue
2023-01-01,253.98028448486028
2023-01-02,3710.2802723028053
2023-01-03,3759.4629536731827
2023-01-04,63.17100538615859
2023-01-05,9681.251560627692
2023-01-06,6096.594978990253
2023-01-07,6152.437435431811
2023-01-08,17032.340147779774
2023-01-09,4762.363820362201
2023-01-10,382.24332554050216
2023-01-11,0.0
2023-01-12,624.7748324109298
2023-01-13,14408.310855925234
2023-01-14,9533.609391499225
2023-01-15,14198.114080938554
2023-01-16,10547.452728897933
2023-01-17,0.0
2023-01-18,4686.604574546447
2023-01-19,9023.775792230479
2023-01-20,5786.808900584714
2023-01-21,2551.3284055675863
2023-01-22,10495.684616541994
2023-01-23,10879.214031808526
2023-01-24,3978.9291920248684
2023-01-25,7945.480540969127
2023-01-26,2714.1728881999948
2023-01-27,6128.879095854485
2023-01-28,19128.924647309963
2023-01-29,742.8543664942581
2023-01-30,4222.7710832464645
2023-01-31,39.89738638506531
2023-02-01,733.3872339852742
2023-02-02,152.90681032795075
2023-02-03,4247.940517249435
2023-02-04,4829.3908339649615
2023-02-05,5147.79363051502
2023-02-06,8481.358821492915
2023-02-07,8119.557795865885
2023-02-08,12675.852519934168
2023-02-09,2994.9880506957375
2023-02-10,4775.879979164633
2023-02-11,1009.9367293422914
2023-02-12,6428.983339117417
2023-02-13,2654.404194453701
2023-02-14,8361.319006916578
2023-02-15,3344.941233397414
2023-02-16,12131.06141987523
2023-02-17,14729.613725642947
2023-02-18,3696.8747551880642
2023-02-19,5080.9766080486015
2023-02-20,4519.988625873779
2023-02-21,4010.6476625140326
2023-02-22,7623.802608009621
2023-02-23,5823.7241588803245
2023-02-24,5530.754280929043
2023-02-25,3571.0014249555607
2023-02-26,7733.5861073728765
2023-02-27,835.6577843079401
2023-02-28,4742.366170028885
2023-03-01,1214.0831160126947
2023-03-02,3830.012372086896
2023-03-03,2676.590171300667
2023-03-04,9223.173515063501
2023-03-05,130.76929599747646
2023-03-06,6137.394637400759
2023-03-07,6203.580231558354
2023-03-08,6925.268748187573
2023-03-09,5219.786158836299
2023-03-10,3754.3214229351124
2023-03-11,0.0
2023-03-12,7221.200613065271
2023-03-13,24400.057495968307
2023-03-14,1598.9577823479772
2023-03-15,4831.377474103867
2023-03-16,7683.7199068269265
2023-03-17,7848.023968764404
2023-03-18,15854.099778365711
2023-03-19,16379.175960101042
2023-03-20,15950.779842055952
2023-03-21,2430.624921509417
2023-03-22,11839.220492407734
2023-03-23,2573.5886336116573
2023-03-24,6629.283759878341
2023-03-25,6427.746028633078
2023-03-26,4159.783485061336
2023-03-27,2911.642453388844
2023-03-28,8818.91263982433
2023-03-29,0.0
2023-03-30,0.0
2023-03-31,2799.33862013452
2023-04-01,705.6962518269388
2023-04-02,3509.808453529712
2023-04-03,0.0
2023-04-04,12959.191238869274
2023-04-05,2753.639530628345
2023-04-06,6098.105851110544
2023-04-07,11779.838163863738
2023-04-08,8777.310482309396
2023-04-09,5783.785433572759
2023-04-10,4029.4097731964694
2023-04-11,93.19746796620444
2023-04-12,18004.352516135175
2023-04-13,5158.494478385186
2023-04-14,11767.567991890817
2023-04-15,3761.899070572108
2023-04-16,6710.825039865957
2023-04-17,9655.402389283412
2023-04-18,17978.495389423006
2023-04-19,6450.018051571551
2023-04-20,2823.2529907057065
2023-04-21,12463.932197423052
2023-04-22,425.7908918762205
2023-04-23,10796.57739624438
2023-04-24,11226.9117874576
2023-04-25,14050.999112209924
2023-04-26,10705.292300951887
2023-04-27,1189.005300275858
2023-04-28,0.0
2023-04-29,4238.020782612335
2023-04-30,11639.160542650643
2023-05-01,2901.6071450093586
2023-05-02,10271.020207845853
2023-05-03,5563.1866286433215
2023-05-04,14019.119041112135
2023-05-05,3605.231798493959
2023-05-06,2281.294201526145
2023-05-07,863.4561005259357
2023-05-08,2042.9285167011967
2023-05-09,0.0
2023-05-10,3135.644398998226
2023-05-11,2377.4863948124703
2023-05-12,4675.020661006193
2023-05-13,3761.571216236043
2023-05-14,2116.5596955296633
2023-05-15,238.2974916737198
2023-05-16,3228.9236641698208
2023-05-17,333.2220624370333
2023-05-18,0.0
2023-05-19,4683.258017328197
2023-05-20,4774.424492504152
2023-05-21,5066.174290202788
2023-05-22,6828.6344101047125
2023-05-23,0.0
2023-05-24,7822.065888292023
2023-05-25,4870.186468367542
2023-05-26,24160.775957853675
2023-05-27,17013.846868724107
2023-05-28,7364.468719088358
2023-05-29,2494.910964312819
2023-05-30,2016.5115238965125
2023-05-31,122.9070663500437
2023-06-01,3167.5574601423214
2023-06-02,1468.4580198674998
2023-06-03,8863.242697901875
2023-06-04,3425.9331503767057
2023-06-05,1704.853431043453
2023-06-06,8328.083625723455
2023-06-07,6804.381371849588
2023-06-08,6499.278053486198
